title,year,ratingIMDB,votes,genresIMDB,sentiment_score_title,project_score,sentiment_score
basic,2003,6.3,26295.0,crime drama mystery thriller,-0.9999291896820068,-1,-0.27986172066544585
big fish,2003,8.1,144264.0,adventure drama fantasy,-0.9714394807815552,-1,0.11001721268552113
birthday girl,2001,6.0,13497.0,comedy crime romance thriller,-0.9757685661315918,-1,-0.13813088906047702
black snake moan,2006,7.1,28509.0,drama,0.9969627261161804,1,-0.03434263062708586
black rain,1989,6.4,16249.0,action crime drama thriller,-0.7850095629692078,-1,-0.12255951529368758
blade runner,1982,8.3,188735.0,drama sci-fi thriller,-0.9690237641334534,-1,-0.11952047611055104
blast from the past,1999,6.4,23489.0,comedy drama romance,0.9282318949699402,1,0.027640416119576492
blue velvet,1986,7.8,54576.0,crime mystery thriller,0.6001339554786682,1,-0.08503758785498404
the boondock saints,1999,7.8,87895.0,action crime drama thriller,-0.7353256344795227,-1,-0.14430696086516004
bottle rocket,1996,7.2,22303.0,comedy crime,-0.9998026490211488,-1,-0.14855379057193988
the bourne supremacy,2004,7.6,106349.0,action adventure mystery thriller,-0.9998987913131714,-1,-0.2411972603025657
braveheart,1995,8.4,245652.0,action biography drama history war,-0.5903762578964233,-1,0.04529447339183495
the butterfly effect,2004,7.8,104917.0,drama mystery sci-fi thriller,-0.9361993074417114,-1,-0.21791695254504267
casablanca,1942,8.8,170874.0,drama romance war,-0.999852180480957,-1,0.06130212626140106
cast away,2000,7.5,104477.0,adventure drama,-0.9982536435127258,-1,-0.016461780921897696
the cider house rules,1999,7.5,38836.0,drama romance,0.9867553114891052,1,-0.04875348327819521
confidence,2003,6.8,17235.0,crime thriller,-0.9985401630401612,-1,-0.190543652768943
croupier,1998,7.2,9060.0,crime drama,-0.9999336004257202,-1,-0.10612049662187452
dark star,1974,6.5,8303.0,comedy sci-fi thriller,-0.9959736466407776,-1,-0.0872057353456815
dark angel,1990,5.3,3452.0,action crime drama horror sci-fi thriller,-0.9997735619544984,-1,-0.12242454086338078
detroit rock city,1999,6.5,14666.0,comedy music,-0.9980712532997132,-1,-0.138100187152119
donnie darko,2001,8.3,215194.0,drama mystery sci-fi,-0.9981045722961426,-1,-0.10581076507143646
drop dead gorgeous,1999,6.3,16417.0,comedy adult,-0.9995416402816772,-1,-0.06535301605860393
duck soup,1933,8.1,27112.0,comedy musical,-0.912835955619812,-1,-0.06415818797217475
the elephant man,1980,8.4,59625.0,biography drama history,-0.7906111478805542,-1,0.18988975430979874
erik the viking,1989,5.9,5889.0,comedy adventure fantasy,-0.99978107213974,-1,-0.09217862385869678
eternal sunshine of the spotless mind,2004,8.5,224838.0,drama romance sci-fi,-0.9999940395355223,-1,-0.06591557494818871
even cowgirls get the blues,1993,4.0,3947.0,comedy drama romance western,-0.9217824339866638,-1,-0.14734616815643822
event horizon,1997,6.4,45497.0,horror mystery mystery sci-fi sci-fi,-0.999466359615326,-1,-0.17596756364697608
fantastic four,2005,5.7,72581.0,action adventure fantasy sci-fi fantasy,-0.9966326355934144,-1,-0.020690562109968978
fast times at ridgemont high,1982,7.2,31710.0,comedy drama romance,-0.8639359474182129,-1,0.07467759272845775
fear and loathing in las vegas,1998,7.6,82748.0,drama fantasy,-0.999707043170929,-1,-0.3664397330253155
feast,2005,6.4,12248.0,action comedy horror thriller,-0.999316930770874,-1,-0.0912753654057601
frances,1982,7.2,2756.0,biography drama,-0.9998999834060668,-1,-0.1285032678606764
frankenstein,1931,8.0,23522.0,drama horror sci-fi,0.5788302421569824,1,0.16969709392845805
friday the 13th,2009,5.6,27499.0,horror,-0.956561803817749,-1,-0.05105921742203948
from dusk till dawn,1996,7.1,81559.0,action crime horror thriller,-0.9629539847373962,-1,-0.09776660149747675
g.i. jane,1997,5.6,24068.0,action drama,-0.999562680721283,-1,-0.1271492282981458
godzilla,1998,4.9,60310.0,action horror sci-fi thriller,-0.9998371601104736,-1,-0.10942445729825363
galaxy quest,1999,7.2,53004.0,action adventure comedy sci-fi,0.8186150789260864,1,-0.11978063780880539
george washington,2000,7.5,3142.0,drama,-0.9991509914398192,-1,0.050969202445584096
get shorty,1995,6.9,33588.0,comedy crime thriller,-0.999626398086548,-1,-0.17918945637231315
ghost ship,2002,5.3,26413.0,horror mystery thriller,-0.9996901750564576,-1,-0.28746812691730733
ghost world,2001,7.7,43550.0,comedy drama,-0.9999806880950928,-1,-0.2326592328184742
the ghost and the darkness,1996,6.6,19954.0,adventure drama thriller,-0.820536732673645,-1,0.00047853111796531815
ghostbusters ii,1989,6.1,45450.0,action adventure comedy fantasy sci-fi action adventure comedy sci-fi,0.9916945099830629,1,-0.020029914477234515
ghostbusters,1986,6.9,237.0,animation comedy fantasy sci-fi horror,0.6911989450454712,1,-0.06186534090129208
gladiator,2000,8.4,286067.0,action adventure drama,-0.993975818157196,-1,-0.07764577640069498
the graduate,1967,8.2,79677.0,comedy drama romance,-0.9978263974189758,-1,-0.08077936794395747
grand hotel,1932,7.7,6088.0,drama romance,0.990764856338501,1,0.021059843750780384
the grifters,1990,7.0,11481.0,crime drama thriller,-0.915531039237976,-1,-0.029092043962167656
halloween h20: 20 years later,1998,5.4,22353.0,drama horror thriller,-0.9988001585006714,-1,-0.16086697225042954
happy birthday wanda june,1971,5.8,144.0,comedy drama,-0.9920722842216492,-1,-0.02486464655048394
hardcore,1979,6.7,2455.0,drama,-0.9997605681419371,-1,-0.20727657146542985
harold and maude,1971,8.1,28689.0,comedy romance,-0.930580198764801,-1,0.05111450054807095
hellboy,2004,6.8,68619.0,action adventure fantasy,-0.9999910593032836,-1,-0.15406668411962915
hellraiser,1987,7.0,22922.0,horror,-0.9989099502563475,-1,-0.08198539408173149
high fidelity,2000,7.6,70464.0,comedy drama music romance,0.7602009773254395,1,-0.059251203637829
highlander,1986,7.2,41243.0,action fantasy,-0.9999051094055176,-1,0.009881892154131893
his girl friday,1940,8.1,20870.0,comedy drama romance,-0.9862099289894104,-1,-0.059549924524910716
hope and glory,1987,7.4,4965.0,drama war,-0.9994545578956604,-1,-0.04909170009442512
house of 1000 corpses,2003,5.6,27033.0,horror,-0.9999098777770996,-1,-0.15779567943177075
human nature,2001,6.3,10017.0,comedy drama,0.7027401924133301,1,0.05245628026113556
the hustler,1961,8.2,25871.0,drama romance sport,-0.9134117364883424,-1,0.03859183218093277
i am legend,2007,7.1,156084.0,drama sci-fi thriller,-0.9604657292366028,-1,0.05171038334568342
invaders from mars,1953,6.4,2115.0,horror sci-fi,-0.7392008900642395,-1,-0.047482766764504566
independence day,1996,6.6,151698.0,action adventure sci-fi thriller,-0.7191056609153748,-1,-0.11902833296809086
indiana jones and the last crusade,1989,8.3,174947.0,action adventure thriller action adventure fantasy,0.996090829372406,1,0.07841760398152478
indiana jones and the temple of doom,1984,7.5,112054.0,action adventure,-0.9060726165771484,-1,-0.12885502437363097
innerspace,1987,6.5,16854.0,action adventure comedy crime sci-fi,-0.9853256344795228,-1,-0.11934986419794036
the insider,1999,8.0,69660.0,biography drama thriller,-0.9889733195304872,-1,-0.16087983304230624
intolerable cruelty,2003,6.4,36739.0,comedy romance crime,-0.9845852255821228,-1,-0.031722565563850336
it happened one night,1934,8.3,25577.0,comedy romance,-0.9994112253189088,-1,-0.04502798248823884
jfk,1991,8.0,60406.0,biography drama history mystery thriller,-0.999925971031189,-1,-0.2709639889537523
jackie brown,1997,7.6,85496.0,crime drama thriller,-0.995652675628662,-1,-0.11786961241772301
jacob's ladder,1990,7.5,29182.0,drama mystery thriller,-0.9998990297317504,-1,-0.19093411615633418
juno,2007,7.9,152436.0,comedy drama,-0.9993119239807128,-1,-0.12544887768762994
kalifornia,1993,6.7,21830.0,crime drama thriller,-0.9998860359191896,-1,-0.14241901169652524
kids,1995,6.8,26546.0,crime drama,-0.9999842643737792,-1,-0.09089583045605457
knight moves,1992,5.8,3272.0,mystery thriller,-0.9998600482940674,-1,-0.18474142483785644
krull,1983,5.9,8246.0,fantasy action adventure sci-fi,0.9665360450744628,1,0.015084218706261839
léon,1994,8.6,204901.0,crime drama thriller,-0.996912717819214,-1,-0.05155688572314478
labor of love,1998,4.5,45.0,,-0.7706394195556641,-1,-0.10903368013746598
legally blonde,2001,6.2,44558.0,comedy,-0.996729612350464,-1,-0.1246979270763548
legend,1985,6.2,20907.0,fantasy adventure romance,0.9196505546569824,1,0.05705618159365408
life as a house,2001,7.5,19468.0,drama romance,-0.874882161617279,-1,-0.21578120735317174
the life of david gale,2003,7.3,38237.0,drama crime thriller,-0.9998569488525392,-1,-0.029120442596265613
little nicky,2000,5.0,35489.0,fantasy comedy romance animation comedy fantasy horror,-0.7559378743171692,-1,0.0049355809505169206
logan's run,1976,6.7,15152.0,action sci-fi,-0.9731740951538086,-1,-0.03840928135321579
lost highway,1997,7.6,42998.0,drama horror mystery thriller,-0.9999858140945436,-1,-0.17129307782827163
lost horizon,1937,7.8,5509.0,adventure drama fantasy mystery,-0.9980729818344116,-1,0.024229782643622223
men in black,1997,7.0,121719.0,action adventure comedy sci-fi,-0.9999914169311525,-1,-0.2208038198021719
minority report,2002,7.7,137009.0,action crime mystery sci-fi thriller action animation drama mystery sci-fi thriller,-0.9917489290237428,-1,-0.16315787085780392
made,2001,6.4,9774.0,comedy crime drama thriller,-0.9978175163269044,-1,-0.11314056725292415
malcolm x,1992,7.7,23317.0,biography drama history,-0.9988081455230712,-1,-0.044877047896919764
man on fire,2004,7.7,76517.0,action crime drama thriller,-0.9909544587135316,-1,-0.12515345659935706
marty,1955,7.7,6379.0,drama romance,-0.9982531666755676,-1,-0.056560170729603385
mash,1970,7.8,29358.0,comedy war drama,-0.9993487000465392,-1,-0.03483092144578931
meet john doe,1941,7.7,4841.0,comedy drama romance,-0.983694553375244,-1,-0.11661826028414299
metro,1997,5.3,9601.0,action comedy crime drama thriller,-0.9479726552963256,-1,0.006478402284112307
metropolis,1927,8.4,40730.0,adventure drama sci-fi,0.5072972178459167,1,-0.12664450786925935
mighty morphin power rangers,1994,8.2,35.0,action family,-0.9835118651390076,-1,0.11541172323074747
mobsters,1991,5.5,3574.0,crime drama,-0.9996488094329834,-1,0.06409663850561194
monkeybone,2001,4.5,8258.0,animation comedy fantasy romance,-0.9988123178482056,-1,-0.26353054879899807
my mother dreams the satan's disciples in new york,1998,6.7,70.0,short,-0.7756783366203308,-1,-0.07614085762227168
mr. smith goes to washington,1939,8.4,33984.0,drama,-0.9761077761650084,-1,-0.013681139940419858
mr. deeds goes to town,1936,8.0,7594.0,comedy romance,0.998499870300293,1,0.05340671333510553
mumford,1999,6.8,6333.0,comedy drama,-0.99136883020401,-1,-0.11848014143592152
the mummy,1999,6.9,96736.0,action adventure fantasy,-0.9988202452659608,-1,-0.11869102465478998
mystery men,1999,5.9,31817.0,action comedy fantasy,-0.992667019367218,-1,0.08042210856980407
napoleon,1995,5.5,486.0,family adventure,-0.9934979677200316,-1,0.01879499168307693
next friday,2000,5.4,10267.0,comedy,-0.9998936653137208,-1,-0.1498702658659308
nick of time,1995,6.2,15945.0,crime drama thriller,-0.9999606609344482,-1,0.009056924188390691
the night of the hunter,1955,8.2,26211.0,drama film-noir thriller,-0.9969049096107484,-1,0.023346900939941406
a nightmare on elm street,1984,7.4,47161.0,horror,0.9358816742897034,1,-0.09007000900493375
ninotchka,1939,7.9,6951.0,comedy romance,-0.7046902775764465,-1,0.08834720612292564
nixon,1995,7.1,13878.0,biography drama,-0.9996944665908812,-1,-0.17430193974421573
no country for old men,2007,8.3,202649.0,crime drama mystery thriller western,-0.9959561228752136,-1,-0.16198827683705685
nurse betty,2000,6.4,20473.0,comedy crime romance thriller,-0.9998316764831544,-1,-0.11253660582766241
o brother where art thou?,2000,7.8,95628.0,comedy adventure crime music,-0.9977412223815918,-1,-0.10243001127544837
an officer and a gentleman,1982,6.8,16883.0,drama romance,-0.9999275207519532,-1,-0.09080471023467465
panic room,2002,6.9,69824.0,thriller,-0.9944500923156738,-1,-0.23319021056425895
panther,1995,5.9,1129.0,drama,-0.9985087513923644,-1,-0.16909911919657777
the patriot,2000,6.9,79207.0,action drama war,-0.7637625336647034,-1,-0.02038622874962656
pet sematary,1989,6.3,19851.0,drama fantasy horror mystery thriller,-0.9978750944137572,-1,-0.04806402566749301
pirates of the caribbean,2003,7.2,329.0,adventure fantasy horror,-0.7803614735603333,-1,-0.05827608477261107
plastic man,1999,6.7,29.0,drama,-0.9990575909614564,-1,-0.09381412665889328
platinum blonde,1931,6.9,1119.0,comedy romance,-0.9885419607162476,-1,0.05259201966602623
pleasantville,1998,7.5,49669.0,comedy drama fantasy,-0.9284587502479552,-1,-0.07734037703937954
punch-drunk love,2002,7.4,50312.0,comedy drama romance,-0.9999439716339112,-1,-0.21094018173783194
quills,2000,7.3,22657.0,biography drama history romance,0.998502254486084,1,-0.011000984860945117
rko 281,1999,7.1,3543.0,biography drama,-0.9635000228881836,-1,-0.07265619531306025
raging bull,1980,8.4,91851.0,biography drama sport,-0.999653697013855,-1,-0.14724378270820496
rear window,1954,8.7,121165.0,crime mystery romance thriller,-0.9988532066345216,-1,-0.1693644231182144
rebel without a cause,1955,7.9,27791.0,drama romance,-0.9536374807357788,-1,-0.15270262708266577
reindeer games,2000,5.5,16951.0,action crime drama thriller,-0.9992929697036744,-1,-0.06463043286491106
reservoir dogs,1992,8.4,217185.0,crime mystery thriller,-0.9985482096672058,-1,-0.28495045086821996
roughshod,1949,6.9,115.0,action drama romance western,-0.9895493984222412,-1,-0.02911713184454502
scary movie 2,2001,4.7,44511.0,comedy,-0.99979168176651,-1,0.016798862666214883
serial mom,1994,6.4,11077.0,comedy thriller,-0.9985255599021912,-1,-0.043357898416759084
the seventh victim,1943,6.9,1596.0,drama horror thriller,-0.9998605251312256,-1,0.05168704286650503
sex lies and videotape,1989,7.1,18505.0,drama,-0.9999748468399048,-1,-0.19246483607099235
shivers,1975,6.5,4940.0,horror sci-fi,-0.999912977218628,-1,-0.19241610509437201
shock treatment,1981,5.4,1884.0,comedy musical,0.6687568426132202,1,0.06839074599938315
sideways,2004,7.8,70349.0,comedy drama romance,-0.9991440773010254,-1,0.04079866234849139
signs,2002,6.9,113119.0,drama mystery sci-fi thriller,-0.9912074208259584,-1,-0.10535346872453001
silverado,1985,7.0,14355.0,action western,-0.9960105419158936,-1,-0.02972759094582983
simone,2010,8.3,9.0,short drama horror thriller,-0.9999698400497437,-1,0.023550706117049507
the sixth sense,1999,8.2,244162.0,drama mystery thriller,-0.900913655757904,-1,-0.09802092943551405
slash,2002,4.2,899.0,comedy horror thriller,-0.9847967624664308,-1,-0.14327167978092115
slither,2006,6.6,26497.0,comedy horror sci-fi,-0.9940972328186036,-1,-0.182610914340386
smokey and the bandit,1977,6.6,14147.0,action comedy crime romance,-0.7051250338554382,-1,0.01565746175444156
smokin' aces,2006,6.6,58048.0,action crime drama thriller,-0.9766835570335388,-1,-0.319665068961441
solaris,2002,6.2,33541.0,drama mystery romance sci-fi,-0.9999505281448364,-1,-0.2508278344217585
someone to watch over me,1987,6.1,3909.0,action crime drama romance thriller,-0.9999392032623292,-1,-0.08541556596755981
spider-man,2002,7.4,169898.0,action adventure fantasy sci-fi action adventure sci-fi thriller,-0.9999328851699828,-1,-0.1625365816752116
stalag 17,1953,8.2,21182.0,drama war,-0.9998501539230348,-1,-0.0856593950935032
star trek: generations,1994,6.5,26662.0,action mystery sci-fi thriller,-0.8613802790641785,-1,-0.04197942819446325
star trek iii: the search for spock,1984,6.5,22466.0,action adventure sci-fi thriller,0.8392908573150635,1,0.128069368466525
star trek: the wrath of khan,1982,7.8,36503.0,action adventure sci-fi thriller,-0.9971344470977784,-1,0.03394852227311793
star trek iv: the voyage home,1986,7.3,26423.0,adventure comedy sci-fi,-0.9998880624771118,-1,0.03074880745731482
star trek: insurrection,1998,6.3,26728.0,action adventure sci-fi thriller,-0.9840360283851624,-1,-0.16927722717853302
star trek: first contact,1996,7.6,45429.0,action adventure sci-fi thriller,-0.9947983026504515,-1,-0.1640058179743819
star trek vi: the undiscovered country,1991,7.2,23751.0,action mystery sci-fi thriller,-0.8303785920143127,-1,-0.13787217435270252
star trek: nemesis,2002,6.4,28682.0,action sci-fi thriller,-0.994494378566742,-1,0.11623876728775645
starman,1984,6.9,14204.0,adventure drama romance sci-fi,0.5294543504714966,1,-0.04584522294998169
strange days,1995,7.1,27744.0,action crime drama fantasy music mystery sci-fi thriller,-0.999927282333374,-1,-0.16751194174867123
suspect zero,2004,5.8,9914.0,crime horror sci-fi thriller,-0.9997181296348572,-1,-0.25532614183129115
swingers,1996,7.6,32427.0,comedy drama,-0.9984238147735596,-1,-0.10930744640093117
the godfather,1972,9.2,419312.0,crime drama thriller,-0.989592432975769,-1,0.04544706860285127
the talented mr. ripley,1999,7.2,64055.0,crime drama thriller,-0.9993939399719238,-1,-0.06959635149065746
taxi driver,1976,8.6,159525.0,drama thriller,-0.9846742153167723,-1,-0.11920374692210302
the rock,1996,7.3,109533.0,action adventure thriller,-0.9998546838760376,-1,-0.3889321217665801
the majestic,2001,6.8,25057.0,drama romance,0.5297642350196838,1,-0.0857133340978909
the birds,1963,7.9,53233.0,horror romance thriller,-0.9996102452278136,-1,-0.03518554440517138
the body snatcher,1945,7.4,2927.0,drama horror thriller,0.9695960879325868,1,-0.02606831167835787
the crow: salvation,2000,4.7,4566.0,action crime fantasy mystery thriller,-0.999285876750946,-1,-0.1517015442049881
the day the earth stood still,2008,5.5,52489.0,drama sci-fi thriller,-0.9426928758621216,-1,0.04300091228887714
the lost boys,1987,7.0,34826.0,comedy fantasy horror thriller,-0.9643281698226928,-1,-0.011708805782605062
the thing,1982,8.2,80904.0,horror mystery sci-fi thriller,-0.9998501539230348,-1,-0.2988895615055773
the time machine,2002,5.7,32900.0,sci-fi adventure action,-0.9990137815475464,-1,0.09571727932545177
the jacket,2005,7.1,36581.0,drama fantasy mystery sci-fi thriller,-0.9999896287918092,-1,-0.2070938417252074
thelma & louise,1991,7.3,44372.0,crime drama thriller,-0.9999592304229736,-1,-0.1808058202266693
there's something about mary,1998,7.2,97546.0,comedy romance,-0.9999537467956544,-1,-0.09561951069966086
thirteen days,2000,7.3,23732.0,drama history thriller,-0.9997472167015076,-1,-0.1897197827282879
thunderheart,1992,6.6,6662.0,crime mystery thriller western,-0.992856502532959,-1,-0.16958700525595846
top gun,1986,6.5,81087.0,action drama romance,-0.596714437007904,-1,-0.02827474337065239
total recall,1990,7.4,71383.0,action adventure sci-fi thriller,-0.9999301433563232,-1,-0.09873444524233593
tremors,1990,7.1,30553.0,action comedy horror thriller,-0.7997602224349976,-1,-0.11194055347891725
true believer,1989,6.7,1801.0,drama crime,-0.8913646936416626,-1,-0.21638162781421402
twin peaks: fire walk with me,1992,7.0,21274.0,drama horror mystery thriller,-0.991005539894104,-1,-0.02694615778518095
the verdict,1982,7.7,10991.0,drama,-0.9974699020385742,-1,-0.07463547817933074
the war of the worlds,1953,7.1,12239.0,action horror sci-fi thriller,-0.9996132254600524,-1,-0.03249359513349074
new nightmare,1994,6.3,14975.0,fantasy horror mystery thriller,-0.972895085811615,-1,-0.10073330129186313
white squall,1996,6.4,8465.0,adventure drama,0.9947863817214966,1,-0.06547720434670458
wild at heart,1990,7.2,29388.0,crime romance thriller,0.8356482982635498,1,-0.12217572776074768
wonder boys,2000,7.5,31853.0,drama comedy,-0.9985952973365784,-1,-0.18074086220514957
the woodsman,2004,7.4,16090.0,drama,-0.9802407026290894,-1,-0.07738731816871879
the abyss,1989,7.6,51699.0,action adventure drama sci-fi thriller,-0.9774585366249084,-1,-0.1972365648173437
l'avventura,1960,7.9,6963.0,drama mystery,-0.9996353387832642,-1,-0.14121439398312177
agnes of god,1985,6.5,3490.0,drama mystery thriller,-0.9999332427978516,-1,-0.15575070187135379
a hard day's night,1964,7.6,15431.0,comedy music,-0.9916565418243408,-1,0.030663259515874904
alien,1979,8.5,184471.0,adventure horror sci-fi thriller,-0.9998544454574584,-1,-0.3093365414824343
alien vs. predator,1993,7.8,116.0,action adventure sci-fi,-0.9999911785125732,-1,-0.2595028896213841
all about eve,1950,8.5,35597.0,drama,-0.98026305437088,-1,0.010654479324937106
all the president's men,1976,8.0,32717.0,drama history thriller,-0.9999593496322632,-1,-0.25123600659198664
american pie,1999,6.9,107961.0,comedy romance,-0.9999040365219116,-1,-0.043229896177365945
an american werewolf in paris,1997,4.9,10158.0,horror romance thriller comedy,-0.9996175765991212,-1,-0.22053415703838464
anastasia,1997,6.6,16844.0,animation adventure drama family musical animation family,-0.998247504234314,-1,0.0006580388980355822
annie hall,1977,8.3,66781.0,comedy drama romance,-0.9817184209823608,-1,0.10214373513569817
the anniversary party,2001,6.2,5809.0,drama comedy,-0.9996292591094972,-1,0.02106302265535321
antz,1998,6.8,37825.0,animation adventure comedy family,-0.9997488856315612,-1,-0.04013485862658574
the apartment,1960,8.4,37301.0,romance comedy drama,-0.9952215552330016,-1,-0.1146483365407924
apocalypse now,1979,8.6,176465.0,drama war,-0.9999791383743286,-1,-0.08162406769264427
arctic blue,1993,4.8,464.0,action thriller,-0.975028932094574,-1,-0.20406181592467829
as good as it gets,1997,7.8,93201.0,comedy drama romance,-0.9999687671661376,-1,-0.14978834480207168
assassins,1995,6.0,23681.0,action thriller crime,-0.9996188879013062,-1,-0.10700847345780289
asylum,2005,6.1,2395.0,drama romance thriller,-0.999980092048645,-1,-0.12516823837955224
a walk to remember,2002,7.1,38751.0,drama romance,0.9826244711875916,1,-0.003376049704329912
back to the future,1985,8.4,207376.0,adventure family sci-fi,-0.9679161310195924,-1,-0.06927825768052796
badlands,1973,7.9,16753.0,crime drama romance thriller,-0.985784351825714,-1,-0.17216194048523903
the adventures of buckaroo banzai across the 8th dimension,1984,6.0,10046.0,adventure romance comedy sci-fi,-0.9998795986175536,-1,-0.2549399823423416
barton fink,1991,7.8,33119.0,drama mystery thriller,-0.9997710585594176,-1,-0.0845620568435971
basic instinct,1992,6.9,57615.0,mystery romance thriller,-0.9997519850730896,-1,-0.22868113484240166
basquiat,1996,6.7,8016.0,biography drama,-0.9998836517333984,-1,0.024336376013579193
batman returns,1992,6.9,79770.0,action crime fantasy thriller animation crime fantasy action thriller,-0.991320788860321,-1,-0.10678603072867009
batman and robin,1949,6.5,443.0,action adventure crime drama sci-fi,-0.970179557800293,-1,-0.015306933697324124
batman forever,1995,5.4,77223.0,action crime fantasy thriller,-0.9972636699676514,-1,-0.12060967193552728
batman,1989,7.6,112731.0,crime drama thriller action adventure crime,-0.9023723602294922,-1,-0.12807003511026643
bean,1997,5.8,27131.0,comedy family,-0.9999613761901855,-1,0.08277377546072964
beavis and butt-head do america,1996,6.6,23149.0,animation adventure comedy crime,-0.9992201328277588,-1,-0.01831586889384948
beetle juice,1988,7.3,62164.0,comedy fantasy,-0.9513930082321168,-1,-0.12297548342297096
being there,1979,8.0,25085.0,drama comedy,0.9946216344833374,1,0.2957759194335733
being john malkovich,1999,7.9,115008.0,comedy drama fantasy romance,0.9754287004470824,1,0.05174430616403276
beloved,1998,5.6,4014.0,drama mystery,-0.9992818236351012,-1,-0.049042654434839884
the big lebowski,1998,8.2,182170.0,comedy crime mystery,-0.997163712978363,-1,-0.27739050560758594
the black dahlia,2006,5.6,35706.0,crime drama history mystery thriller,0.7178921103477478,1,0.4362568746913563
blade ii,2002,6.6,51826.0,action fantasy horror thriller action adventure horror,-0.9987592697143556,-1,-0.23453733746598407
blade,1998,7.0,65885.0,action adventure fantasy horror thriller,-0.9999622106552124,-1,-0.21840438224651196
book of shadows: blair witch 2,2000,4.1,16285.0,crime horror mystery thriller,-0.9999802112579346,-1,-0.27004221424143365
blood simple.,1984,7.8,28901.0,crime drama thriller,-0.99956876039505,-1,-0.2847516524423029
bloodmoon,1997,4.5,269.0,action thriller,-0.7394341230392456,-1,-0.10308455786056067
blow,2001,7.4,71334.0,biography crime drama,-0.7262740731239319,-1,-0.05822458594690922
la battaglia di algeri,1966,8.2,14339.0,drama history war,-0.9985737800598145,-1,-0.11533922097814364
body of evidence,1993,4.1,6052.0,drama romance thriller,-0.9428128004074096,-1,-0.2192776283439325
the bridges of madison county,1995,7.2,22252.0,drama romance,-0.9999837875366212,-1,-0.09212843855986229
bones,2001,4.0,3525.0,crime horror,-0.9981166124343872,-1,-0.20542538368359559
bound,1996,7.5,23772.0,crime drama thriller,-0.9997780919075012,-1,-0.18752416669291197
the bourne identity,2002,7.7,124918.0,action adventure mystery thriller,-0.9995108842849731,-1,-0.250514612290691
brazil,1985,8.0,77350.0,drama fantasy sci-fi,-0.971625030040741,-1,-0.08629129135780886
bringing out the dead,1999,6.8,31285.0,drama thriller,-0.9986735582351683,-1,-0.19311966803338793
broadcast news,1987,7.1,10559.0,comedy drama romance,-0.9998190999031068,-1,-0.048084444635444215
